"Transcript_ID","Locus_ID","Description","RAP.DB.Gene.Symbol.Synonym.s.","RAP.DB.Gene.Name.Synonym.s.","CGSNL.Gene.Symbol","CGSNL.Gene.Name","Oryzabase.Gene.Symbol.Synonym.s.","Oryzabase.Gene.Name.Synonym.s.","GO","InterPro","Transcript.evidence","ORF.evidence","Curation.Date","Literature.PMID","FLcDNA.clone.ID","Oryzabase.Trait.Gene.ID","A.thaliana_gene_id","Reciprocal_flag","Type","Short_description","Curator_summary","Computational_description","gene.alias","Note","symbol","Alias","full_name","computational_description","Dbxref","locus_type","curator_summary","description","nochangenat.description","NormalizationGroup","padj","log2FoldChange"
"LOC_Osp1g00220.1","LOC_Osp1g00220","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00220.1","2","protein_coding","photosystem II reaction center protein M","PSII low MW protein","""photosystem II reaction center protein M (PSBM); INVOLVED IN: photosynthesis, light reaction; LOCATED IN: endomembrane system, integral to membrane, photosystem II; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II, PsbM (InterPro:IPR007826).""","PSBM","photosystem II reaction center protein M","PSBM","-","photosystem II reaction center protein M","photosystem II reaction center protein M (PSBM)%3B INVOLVED IN: photosynthesis%2C light reaction%3B LOCATED IN: endomembrane system%2C integral to membrane%2C photosystem II%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Photosystem II%2C PsbM (InterPro:IPR007826).","""PMID:18854047,locus:504954646""","protein_coding","PSII low MW protein","-","-","data",0.0349101154499729,1.70456816885415
"LOC_Osp1g00250.1","LOC_Osp1g00250","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00180.1","2","protein_coding","DNA-directed RNA polymerase family protein","RNA polymerase beta' subunit-1","""RPOC1; FUNCTIONS IN: DNA-directed RNA polymerase activity; INVOLVED IN: RNA elongation; LOCATED IN: chloroplast, nucleoid; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: RNA polymerase, N-terminal (InterPro:IPR006592), RNA polymerase, alpha subunit (InterPro:IPR000722), RNA polymerase Rpb1, domain 3 (InterPro:IPR007066), RNA polymerase Rpb1, domain 1 (InterPro:IPR007080); BEST Arabidopsis thaliana protein match is: nuclear RNA polymerase C1 (TAIR:AT5G60040.1).""","RPOC1","DNA-directed RNA polymerase family protein","RPOC1","-","-","RPOC1%3B FUNCTIONS IN: DNA-directed RNA polymerase activity%3B INVOLVED IN: RNA elongation%3B LOCATED IN: chloroplast%2C nucleoid%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: RNA polymerase%2C N-terminal (InterPro:IPR006592)%2C RNA polymerase%2C alpha subunit (InterPro:IPR000722)%2C RNA polymerase Rpb1%2C domain 3 (InterPro:IPR007066)%2C RNA polymerase Rpb1%2C domain 1 (InterPro:IPR007080)%3B BEST Arabidopsis thaliana protein match is: nuclear RNA polymerase C1 (TAIR:AT5G60040.1).","""PMID:10574454,PMID:16698900,PMID:17071648,PMID:17726051,PMID:18650403,PMID:20653883,PMID:21288264,PMID:21949211,locus:504954642""","protein_coding","RNA polymerase beta' subunit-1","-","-","data",0.0279027789959317,2.48227143237712
"LOC_Osp1g00260.1","LOC_Osp1g00260","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00170.1","2","protein_coding","DNA-directed RNA polymerase family protein","RNA polymerase beta' subunit-2","""RPOC2; FUNCTIONS IN: DNA-directed RNA polymerase activity; INVOLVED IN: RNA elongation; LOCATED IN: chloroplast, nucleoid; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: RNA polymerase Rpb1, domain 3 (InterPro:IPR007066), RNA polymerase Rpb1, domain 5 (InterPro:IPR007081), DNA-directed RNA polymerase, subunit beta&apos;&apos; (InterPro:IPR012756), RNA polymerase Rpb1, domain 4 (InterPro:IPR007083); BEST Arabidopsis thaliana protein match is: nuclear RNA polymerase A1 (TAIR:AT3G57660.1).""","RPOC2","DNA-directed RNA polymerase family protein","RPOC2","-","-","RPOC2%3B FUNCTIONS IN: DNA-directed RNA polymerase activity%3B INVOLVED IN: RNA elongation%3B LOCATED IN: chloroplast%2C nucleoid%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: RNA polymerase Rpb1%2C domain 3 (InterPro:IPR007066)%2C RNA polymerase Rpb1%2C domain 5 (InterPro:IPR007081)%2C DNA-directed RNA polymerase%2C subunit beta%26apos%3B%26apos%3B (InterPro:IPR012756)%2C RNA polymerase Rpb1%2C domain 4 (InterPro:IPR007083)%3B BEST Arabidopsis thaliana protein match is: nuclear RNA polymerase A1 (TAIR:AT3G57660.1).","""PMID:10574454,PMID:16507087,PMID:17726051,PMID:18650403,PMID:21949211,locus:504954641""","protein_coding","RNA polymerase beta' subunit-2","-","-","data",0.0137765877403341,1.7360686708802
"LOC_Osp1g00270.1","LOC_Osp1g00270","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00160.1","2","protein_coding","ribosomal protein S2","Chloroplast ribosomal protein S2","""ribosomal protein S2 (RPS2); FUNCTIONS IN: structural constituent of ribosome; INVOLVED IN: translation; LOCATED IN: plastid small ribosomal subunit, chloroplast stroma, chloroplast, membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ribosomal protein S2 (InterPro:IPR001865), Ribosomal protein S2, conserved site (InterPro:IPR018130), Ribosomal protein S2, bacteria/mitochondria/plastid (InterPro:IPR005706).""","RPS2","ribosomal protein S2","RPS2","-","ribosomal protein S2","ribosomal protein S2 (RPS2)%3B FUNCTIONS IN: structural constituent of ribosome%3B INVOLVED IN: translation%3B LOCATED IN: plastid small ribosomal subunit%2C chloroplast stroma%2C chloroplast%2C membrane%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Ribosomal protein S2 (InterPro:IPR001865)%2C Ribosomal protein S2%2C conserved site (InterPro:IPR018130)%2C Ribosomal protein S2%2C bacteria/mitochondria/plastid (InterPro:IPR005706).","""PMID:18650403,PMID:21951134,locus:504954640""","protein_coding","Chloroplast ribosomal protein S2","-","-","data",0.0111178680247657,2.66004235954724
"LOC_Osp1g00280.1","LOC_Osp1g00280","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00150.1","2","protein_coding","""ATPase, F0 complex, subunit A protein""","""Encodes a subunit of ATPase complex CF0, which is a proton channel that supplies the proton motive force to drive ATP synthesis by CF1 portion of the complex.""","""ATPI; FUNCTIONS IN: hydrogen ion channel activity; INVOLVED IN: dATP biosynthetic process from ADP; LOCATED IN: chloroplast thylakoid membrane, chloroplast ATP synthase complex, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: ATPase, F0 complex, subunit A (InterPro:IPR000568).""","ATPI","ATPase%2C F0 complex%2C subunit A protein","ATPI","-","-","ATPI%3B FUNCTIONS IN: hydrogen ion channel activity%3B INVOLVED IN: dATP biosynthetic process from ADP%3B LOCATED IN: chloroplast thylakoid membrane%2C chloroplast ATP synthase complex%2C chloroplast%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: ATPase%2C F0 complex%2C subunit A (InterPro:IPR000568).","""PMID:14729914,PMID:15322131,PMID:16507087,PMID:17333279,PMID:24223785,locus:504954639""","protein_coding","Encodes a subunit of ATPase complex CF0%2C which is a proton channel that supplies the proton motive force to drive ATP synthesis by CF1 portion of the complex.","-","-","data",0.00719246750744198,2.14449452902697
"LOC_Osp1g00300.1","LOC_Osp1g00300","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00130.1","2","protein_coding","""ATPase, F0 complex, subunit B/B', bacterial/chloroplast""","ATPase F subunit.","""ATPF; FUNCTIONS IN: hydrogen ion transporting ATP synthase activity, rotational mechanism; INVOLVED IN: cellular respiration, mitochondrial ATP synthesis coupled proton transport; LOCATED IN: proton-transporting ATP synthase complex, thylakoid, chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: ATPase, F0 complex, subunit B/B&apos;, bacterial/chloroplast (InterPro:IPR002146).""","ATPF","ATPase%2C F0 complex%2C subunit B/B'%2C bacterial/chloroplast","ATPF","-","-","ATPF%3B FUNCTIONS IN: hydrogen ion transporting ATP synthase activity%2C rotational mechanism%3B INVOLVED IN: cellular respiration%2C mitochondrial ATP synthesis coupled proton transport%3B LOCATED IN: proton-transporting ATP synthase complex%2C thylakoid%2C chloroplast thylakoid membrane%2C chloroplast%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: ATPase%2C F0 complex%2C subunit B/B%26apos%3B%2C bacterial/chloroplast (InterPro:IPR002146).","""PMID:14729914,PMID:15322131,PMID:16183833,PMID:16507087,PMID:17726051,PMID:17873090,PMID:18650403,PMID:18633119,PMID:24064926,PMID:24223785,PMID:25585673,locus:504954637""","protein_coding","ATPase F subunit.","-","-","data",0.00166553617589263,2.65797510553849
"LOC_Osp1g00310.1","LOC_Osp1g00310","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00120.1","2","protein_coding","ATP synthase subunit alpha","""Encodes the ATPase alpha subunit, which is a subunit of ATP synthase and part of the CF1 portion which catalyzes the conversion of ADP to ATP using the proton motive force. This complex is located in the thylakoid membrane of the chloroplast.""","""ATP synthase subunit alpha (ATPA); FUNCTIONS IN: zinc ion binding, proton-transporting ATPase activity, rotational mechanism; INVOLVED IN: response to cold, defense response to bacterium, dATP biosynthetic process from ADP; LOCATED IN: in 8 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: ATPase, F1/V1/A1 complex, alpha/beta subunit, C-terminal (InterPro:IPR000793), ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal (InterPro:IPR004100), ATPase, F1 complex, alpha subunit, C-terminal (InterPro:IPR017458), ATPase, alpha/beta subunit, nucleotide-binding domain, active site (InterPro:IPR020003), ATPase, F1 complex, alpha subunit (InterPro:IPR005294), ATPase, F1/A1 complex, alpha/beta subunit, N-terminal (InterPro:IPR018118), ATPase, alpha/beta subunit, nucleotide-binding domain (InterPro:IPR000194); BEST Arabidopsis thaliana protein match is: ATPase, F1 complex, alpha subunit protein (TAIR:AT2G07698.1).""","ATPA","ATP synthase subunit alpha","ATPA","-","ATP synthase subunit alpha","ATP synthase subunit alpha (ATPA)%3B FUNCTIONS IN: zinc ion binding%2C proton-transporting ATPase activity%2C rotational mechanism%3B INVOLVED IN: response to cold%2C defense response to bacterium%2C dATP biosynthetic process from ADP%3B LOCATED IN: in 8 components%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: ATPase%2C F1/V1/A1 complex%2C alpha/beta subunit%2C C-terminal (InterPro:IPR000793)%2C ATPase%2C F1/V1/A1 complex%2C alpha/beta subunit%2C N-terminal (InterPro:IPR004100)%2C ATPase%2C F1 complex%2C alpha subunit%2C C-terminal (InterPro:IPR017458)%2C ATPase%2C alpha/beta subunit%2C nucleotide-binding domain%2C active site (InterPro:IPR020003)%2C ATPase%2C F1 complex%2C alpha subunit (InterPro:IPR005294)%2C ATPase%2C F1/A1 complex%2C alpha/beta subunit%2C N-terminal (InterPro:IPR018118)%2C ATPase%2C alpha/beta subunit%2C nucleotide-binding domain (InterPro:IPR000194)%3B BEST Arabidopsis thaliana protein match is: ATPase%2C F1 complex%2C alpha subunit protein (TAIR:AT2G07698.1).","""PMID:14593120,PMID:14729914,PMID:15273297,PMID:15322131,PMID:16183833,PMID:16461379,PMID:16507087,PMID:16923014,PMID:17028151,PMID:17028149,PMID:17103225,PMID:17828791,PMID:17959651,PMID:18557832,PMID:18650403,PMID:18633119,PMID:19697039,PMID:20018591,PMID:20118269,PMID:22995300,PMID:23281391,PMID:24223785,locus:504954636""","protein_coding","Encodes the ATPase alpha subunit%2C which is a subunit of ATP synthase and part of the CF1 portion which catalyzes the conversion of ADP to ATP using the proton motive force. This complex is located in the thylakoid membrane of the chloroplast.","-","-","data",0.000648857676042283,2.95869268523532
"LOC_Osp1g00320.1","LOC_Osp1g00320","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00330.1","2","protein_coding","chloroplast ribosomal protein S14","30S chloroplast ribosomal protein S14","""chloroplast ribosomal protein S14 (RPS14); FUNCTIONS IN: structural constituent of ribosome; INVOLVED IN: translation; LOCATED IN: plastid small ribosomal subunit, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ribosomal protein S14 (InterPro:IPR001209), Ribosomal protein S14, conserved site (InterPro:IPR018271).""","RPS14","chloroplast ribosomal protein S14","RPS14","-","chloroplast ribosomal protein S14","chloroplast ribosomal protein S14 (RPS14)%3B FUNCTIONS IN: structural constituent of ribosome%3B INVOLVED IN: translation%3B LOCATED IN: plastid small ribosomal subunit%2C chloroplast%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Ribosomal protein S14 (InterPro:IPR001209)%2C Ribosomal protein S14%2C conserved site (InterPro:IPR018271).","""PMID:17726051,locus:504954657""","protein_coding","30S chloroplast ribosomal protein S14","-","-","data",0.00242238856482881,2.98957957911035
"LOC_Osp1g00330.1","LOC_Osp1g00330","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00340.1","2","protein_coding","""Photosystem I, PsaA/PsaB protein""","Encodes the D1 subunit of photosystem I reaction center.","""PSAB; FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, light harvesting in photosystem II, photosynthesis, light harvesting in photosystem I; LOCATED IN: in 7 components; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem I psaB (InterPro:IPR006244), Photosystem I, PsaA/PsaB (InterPro:IPR001280), Photosystem I psaA/psaB, conserved site (InterPro:IPR020586); BEST Arabidopsis thaliana protein match is: Photosystem I, PsaA/PsaB protein (TAIR:ATCG00350.1).""","PSAB","Photosystem I%2C PsaA/PsaB protein","PSAB","-","-","PSAB%3B FUNCTIONS IN: chlorophyll binding%3B INVOLVED IN: photosynthesis%2C light harvesting in photosystem II%2C photosynthesis%2C light harvesting in photosystem I%3B LOCATED IN: in 7 components%3B EXPRESSED IN: 25 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Photosystem I psaB (InterPro:IPR006244)%2C Photosystem I%2C PsaA/PsaB (InterPro:IPR001280)%2C Photosystem I psaA/psaB%2C conserved site (InterPro:IPR020586)%3B BEST Arabidopsis thaliana protein match is: Photosystem I%2C PsaA/PsaB protein (TAIR:ATCG00350.1).","""PMID:15322131,PMID:15722336,PMID:16461379,PMID:16478728,PMID:16854937,PMID:16916444,PMID:17435084,PMID:18650403,PMID:19037728,PMID:20653886,PMID:22115780,PMID:23221595,locus:504954658""","protein_coding","Encodes the D1 subunit of photosystem I reaction center.","-","-","data",0.00654944532823763,2.14342033661364
"LOC_Osp1g00350.1","LOC_Osp1g00350","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00360.1","2","protein_coding","Tetratricopeptide repeat (TPR)-like superfamily protein","""Encodes a protein required for photosystem I assembly and stability. In Chlamydomonas reinhardtii, this protein seems to act as a PSI specific chaperone facilitating the assembly of the complex by interacting with PsaA and PsaD. A loss of function mutation in tobacco leads to a loss of photosystem I.""","""YCF3; CONTAINS InterPro DOMAIN/s: Tetratricopeptide TPR-1 (InterPro:IPR001440), Tetratricopeptide-like helical (InterPro:IPR011990), Tetratricopeptide repeat-containing (InterPro:IPR013026), Tetratricopeptide repeat (InterPro:IPR019734); BEST Arabidopsis thaliana protein match is: Tetratricopeptide repeat (TPR)-like superfamily protein (TAIR:AT3G11540.1).""","YCF3","photosystem I assembly protein","YCF3","-","-","YCF3%3B CONTAINS InterPro DOMAIN/s: Tetratricopeptide TPR-1 (InterPro:IPR001440)%2C Tetratricopeptide-like helical (InterPro:IPR011990)%2C Tetratricopeptide repeat-containing (InterPro:IPR013026)%2C Tetratricopeptide repeat (InterPro:IPR019734)%3B BEST Arabidopsis thaliana protein match is: Tetratricopeptide repeat (TPR)-like superfamily protein (TAIR:AT3G11540.1).","""PMID:10574454,PMID:14645254,PMID:15144376,PMID:18065687,PMID:18557832,PMID:18650403,PMID:22188563,PMID:23523919,PMID:25228689,locus:504954660""","protein_coding","Encodes a protein required for photosystem I assembly and stability. In Chlamydomonas reinhardtii%2C this protein seems to act as a PSI specific chaperone facilitating the assembly of the complex by interacting with PsaA and PsaD. A loss of function mutation in tobacco leads to a loss of photosystem I.","-","-","data",0.00399021201680308,2.30469252073928
"LOC_Osp1g00360.1","LOC_Osp1g00360","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00380.1","2","protein_coding","chloroplast ribosomal protein S4","Chloroplast encoded ribosomal protein S4","""chloroplast ribosomal protein S4 (RPS4); FUNCTIONS IN: structural constituent of ribosome; INVOLVED IN: translation; LOCATED IN: plastid small ribosomal subunit, chloroplast stroma, chloroplast, membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ribosomal protein S4 (InterPro:IPR001912), Ribosomal protein S4, conserved site (InterPro:IPR018079), RNA-binding S4 (InterPro:IPR002942), Ribosomal protein S4, bacterial-type (InterPro:IPR005709).""","RPS4","chloroplast ribosomal protein S4","RPS4","-","chloroplast ribosomal protein S4","chloroplast ribosomal protein S4 (RPS4)%3B FUNCTIONS IN: structural constituent of ribosome%3B INVOLVED IN: translation%3B LOCATED IN: plastid small ribosomal subunit%2C chloroplast stroma%2C chloroplast%2C membrane%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Ribosomal protein S4 (InterPro:IPR001912)%2C Ribosomal protein S4%2C conserved site (InterPro:IPR018079)%2C RNA-binding S4 (InterPro:IPR002942)%2C Ribosomal protein S4%2C bacterial-type (InterPro:IPR005709).","""PMID:18650403,PMID:22995300,PMID:23523919,PMID:23657790,locus:504954662""","protein_coding","Chloroplast encoded ribosomal protein S4","-","-","data",0.00382615923234832,2.78035863038256
"LOC_Osp1g00370.1","LOC_Osp1g00370","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00420.1","2","protein_coding","NADH dehydrogenase subunit J","Encodes NADH dehydrogenase subunit J.  Its transcription is increased upon sulfur depletion.","""NADH dehydrogenase subunit J (NDHJ); FUNCTIONS IN: NADH dehydrogenase (ubiquinone) activity; INVOLVED IN: cellular response to sulfate starvation, oxidation reduction; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: NADH:ubiquinone oxidoreductase, 30kDa subunit (InterPro:IPR001268), NADH:ubiquinone oxidoreductase, 30kDa subunit, conserved site (InterPro:IPR020396).""","NDHJ","NADH dehydrogenase subunit J","NDHJ","-","NADH dehydrogenase subunit J","NADH dehydrogenase subunit J (NDHJ)%3B FUNCTIONS IN: NADH dehydrogenase (ubiquinone) activity%3B INVOLVED IN: cellular response to sulfate starvation%2C oxidation reduction%3B LOCATED IN: chloroplast%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: NADH:ubiquinone oxidoreductase%2C 30kDa subunit (InterPro:IPR001268)%2C NADH:ubiquinone oxidoreductase%2C 30kDa subunit%2C conserved site (InterPro:IPR020396).","""PMID:8768377,PMID:15032878,PMID:18434607,PMID:18431481,PMID:18650403,PMID:23523919,locus:504954665""","protein_coding","Encodes NADH dehydrogenase subunit J.  Its transcription is increased upon sulfur depletion.","-","-","data",0.0054731287216926,2.26043267238089
"LOC_Osp1g00380.1","LOC_Osp1g00380","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00430.1","2","protein_coding","photosystem II reaction center protein G","Encodes a protein which was originally thought to be part of photosystem II but its wheat homolog was later shown to encode for subunit K of NADH dehydrogenase.","""photosystem II reaction center protein G (PSBG); FUNCTIONS IN: 4 iron, 4 sulfur cluster binding, quinone binding, NADH dehydrogenase (ubiquinone) activity, oxidoreductase activity, acting on NADH or NADPH; INVOLVED IN: oxidation reduction; LOCATED IN: chloroplast, respiratory chain complex I; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: NADH:ubiquinone oxidoreductase-like, 20kDa subunit (InterPro:IPR006137), [NiFe]-hydrogenase-3-type complex, small subunit/NADH:quinone oxidoreductase, subunit NuoB (InterPro:IPR014406), NADH:ubiquinone oxidoreductase, 20kDa subunit (InterPro:IPR006138); BEST Arabidopsis thaliana protein match is: NADH-ubiquinone oxidoreductase 20 kDa subunit, mitochondrial (TAIR:AT5G11770.1).""","""NdhK,PSBG""","photosystem II reaction center protein G","PSBG","-","photosystem II reaction center protein G","photosystem II reaction center protein G (PSBG)%3B FUNCTIONS IN: 4 iron%2C 4 sulfur cluster binding%2C quinone binding%2C NADH dehydrogenase (ubiquinone) activity%2C oxidoreductase activity%2C acting on NADH or NADPH%3B INVOLVED IN: oxidation reduction%3B LOCATED IN: chloroplast%2C respiratory chain complex I%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: NADH:ubiquinone oxidoreductase-like%2C 20kDa subunit (InterPro:IPR006137)%2C [NiFe]-hydrogenase-3-type complex%2C small subunit/NADH:quinone oxidoreductase%2C subunit NuoB (InterPro:IPR014406)%2C NADH:ubiquinone oxidoreductase%2C 20kDa subunit (InterPro:IPR006138)%3B BEST Arabidopsis thaliana protein match is: NADH-ubiquinone oxidoreductase 20 kDa subunit%2C mitochondrial (TAIR:AT5G11770.1).","""PMID:15032878,PMID:2668282,PMID:18650403,locus:504954666""","protein_coding","Encodes a protein which was originally thought to be part of photosystem II but its wheat homolog was later shown to encode for subunit K of NADH dehydrogenase.","-","-","data",0.0112441199390107,1.98445707242451
"LOC_Osp1g00390.1","LOC_Osp1g00390","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00440.1","2","protein_coding","""NADH:ubiquinone/plastoquinone oxidoreductase, chain 3 protein""","Encodes NADH dehydrogenase D3 subunit of the chloroplast NAD(P)H dehydrogenase complex","""NDHC; FUNCTIONS IN: NADH dehydrogenase activity; INVOLVED IN: photosynthesis; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: NADH:ubiquinone/plastoquinone oxidoreductase, chain 3 (InterPro:IPR000440); BEST Arabidopsis thaliana protein match is: NADH:ubiquinone/plastoquinone oxidoreductase, chain 3 protein (TAIR:AT2G07751.1).""","NDHC","NADH:ubiquinone/plastoquinone oxidoreductase%2C chain 3 protein","NDHC","-","-","NDHC%3B FUNCTIONS IN: NADH dehydrogenase activity%3B INVOLVED IN: photosynthesis%3B LOCATED IN: chloroplast%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: NADH:ubiquinone/plastoquinone oxidoreductase%2C chain 3 (InterPro:IPR000440)%3B BEST Arabidopsis thaliana protein match is: NADH:ubiquinone/plastoquinone oxidoreductase%2C chain 3 protein (TAIR:AT2G07751.1).","""PMID:8768377,PMID:15489285,PMID:18650403,locus:504954667""","protein_coding","Encodes NADH dehydrogenase D3 subunit of the chloroplast NAD(P)H dehydrogenase complex","-","-","data",0.0460501051363196,1.35444767032747
"LOC_Osp1g00400.1","LOC_Osp1g00400","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00470.1","2","protein_coding","ATP synthase epsilon chain","ATPase epsilon subunit","""ATP synthase epsilon chain (ATPE); FUNCTIONS IN: hydrogen ion transporting ATP synthase activity, rotational mechanism; INVOLVED IN: cellular respiration, mitochondrial ATP synthesis coupled proton transport; LOCATED IN: proton-transporting ATP synthase complex, thylakoid, chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: ATPase, F1 complex, delta/epsilon subunit, N-terminal (InterPro:IPR020546), ATPase, F1 complex, delta/epsilon subunit, C-terminal (InterPro:IPR020547), ATPase, F1 complex, delta/epsilon subunit (InterPro:IPR001469).""","ATPE","ATP synthase epsilon chain","ATPE","-","ATP synthase epsilon chain","ATP synthase epsilon chain (ATPE)%3B FUNCTIONS IN: hydrogen ion transporting ATP synthase activity%2C rotational mechanism%3B INVOLVED IN: cellular respiration%2C mitochondrial ATP synthesis coupled proton transport%3B LOCATED IN: proton-transporting ATP synthase complex%2C thylakoid%2C chloroplast thylakoid membrane%2C chloroplast%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: ATPase%2C F1 complex%2C delta/epsilon subunit%2C N-terminal (InterPro:IPR020546)%2C ATPase%2C F1 complex%2C delta/epsilon subunit%2C C-terminal (InterPro:IPR020547)%2C ATPase%2C F1 complex%2C delta/epsilon subunit (InterPro:IPR001469).","""PMID:14593120,PMID:14729914,PMID:15322131,PMID:15829605,PMID:16507087,PMID:18431481,PMID:18650403,PMID:18633119,locus:504954670""","protein_coding","ATPase epsilon subunit","-","-","data",0.0249444077613901,1.75987039953304
